"","Id_Estacion","Periodo","null","ENERO","FEBRERO","MARZO","ABRIL","MAYO","JUNIO","JULIO","AGOSTO","SEPTIEMBRE","OCTUBRE","NOVIEMBRE","DICIEMBRE","TOTAL","Periodo2"
"263","13079","7100",NA,"9.1","9","14.1","32.6","49.4","67.8","64.3","52.6","65.4","36.1","13.3","7","420.7","1971 - 2000"
"264","13079","8110",NA,"11","13.8","13.9","32.2","42.8","63.9","66.6","58.4","67","43.9","9.7","4.6","427.8","1981 - 2010"
"265","13080","5110",NA,"7.1","8.4","10.5","27.8","54.4","71.4","91.9","72.6","78.2","43.6","17.8","4.8","488.5","1951 - 2010"
"266","13080","7100",NA,"7.5","7.5","11.6","27.4","56.8","70","88.9","68.4","76.8","40.1","14.9","6.1","476","1971 - 2000"
"267","13080","8110",NA,"7.5","9.8","8.7","28.2","47.3","67.5","82.1","67.2","70.8","43.6","19.6","3.8","456.1","1981 - 2010"
"268","13081","5110",NA,"10.6","10.4","8.5","23.8","48.4","72.2","70.2","66.5","77.4","41.1","10.4","4.8","444.3","1951 - 2010"
"269","13081","7100",NA,"9.3","7.8","10.3","20.9","44.7","64.5","66","58.8","71.3","37.9","8.2","6.3","406","1971 - 2000"
"270","13081","8110",NA,"9.4","11.9","7.5","20.9","47.3","66.6","76.7","60.5","75.8","45.8","9.6","3.5","435.5","1981 - 2010"
"271","13082","5110",NA,"11.7","10.8","15.6","36.9","50.5","83.3","82.1","75.5","99.8","62.1","15.4","7.2","550.9","1951 - 2010"
"272","13082","7100",NA,"8.3","9.9","17.8","34.8","54.5","83.7","81","72","95.7","64.7","15.9","7.4","545.7","1971 - 2000"
"273","13082","8110",NA,"9.5","13.2","15.8","35.1","48.6","69.9","86.8","77.1","107","72.6","11.8","6.7","554.1","1981 - 2010"
"274","13083","5110",NA,"12.3","7.4","8.7","24.6","44.7","88.8","101.5","95.9","78.5","38.3","12.4","5.9","519","1951 - 2010"
"275","13083","7100",NA,"11.7","4.9","9.8","23.6","49.2","85.2","94.8","92.1","74.4","35.9","10","7.4","499","1971 - 2000"
"276","13083","8110",NA,"11.2","9.8","8.3","27.4","47","79.3","100.6","101","79","37.4","11.7","3.7","516.4","1981 - 2010"
"277","13084","5110",NA,"7.8","6.9","10.4","23.4","47.3","94","104.7","90.8","81.4","42.7","13.4","6.2","529","1951 - 2010"
"278","13084","7100",NA,"6.7","6.3","9.9","20.1","49.6","92.9","104.9","89.6","84.9","40.1","14.6","7.8","527.4","1971 - 2000"
"279","13084","8110",NA,"9","10.4","10.5","21.7","45","94.7","104.5","88.2","83.3","41.4","12.9","4.4","526","1981 - 2010"
"280","13085","5110",NA,"10.4","12.5","18.3","41.5","62","101","113.7","100","111.6","60.8","17.5","8.4","657.7","1951 - 2010"
"281","13085","7100",NA,"6.9","12.3","21.8","38.4","62.3","98.9","110","90","101.6","62.3","19.8","8.4","632.7","1971 - 2000"
"282","13085","8110",NA,"9.1","13.6","21.6","40.1","62.2","98.9","114.9","96.2","104.9","67.7","15","6.1","650.3","1981 - 2010"
"283","13087","5110",NA,"9","4.7","6.8","17.4","28.1","66.5","58","59.6","96.6","44.1","10.7","4.6","406.1","1951 - 2010"
"284","13087","7100",NA,"6.3","2.3","7.4","16.3","32.6","68.2","51.2","55.4","90.3","41.3","9.5","4.8","385.6","1971 - 2000"
"285","13087","8110",NA,"8.8","6.3","3.7","15.3","21.3","63.3","62.3","61.4","91.7","41.1","11.9","3.1","390.2","1981 - 2010"
"286","13088","5110",NA,"9.1","8.9","7","20.8","41.4","54.6","62.2","44.9","52.5","28.7","9.3","4","343.4","1951 - 2010"
"287","13088","7100",NA,"8.6","6.7","7.3","24","44.8","59.4","53.7","43.9","51.5","26.7","9.3","4.9","340.8","1971 - 2000"
"288","13088","8110",NA,"8.5","10.6","6.7","19.5","36.6","55.4","60.5","40","49.9","30.4","9.9","2.7","330.7","1981 - 2010"
"289","13089","5110",NA,"11.2","8.7","11.8","28.6","49.9","113.2","137.6","119.1","111.9","56.3","17.1","11","676.4","1951 - 2010"
"290","13089","7100",NA,"9.6","8.7","11.9","27.3","54.3","110.8","141.9","119.4","103.1","48.5","14.9","6.4","656.8","1971 - 2000"
"291","13089","8110",NA,"11.8","11.3","9.7","24.4","50.8","110.1","132.7","112.9","100.6","49.7","13.7","14.8","642.5","1981 - 2010"
"292","13090","5110",NA,"9.1","8.5","8.7","32.6","50.8","76.7","83.6","67.5","76.1","45.1","12.1","5.2","476","1951 - 2010"
"293","13090","7100",NA,"9.1","6.9","10.3","30.2","60.8","76.1","83.9","67.9","78","42.9","11.8","6.1","484","1971 - 2000"
"294","13090","8110",NA,"8.8","10.4","6.3","32.6","48.1","66","81.8","66.3","76.5","49.5","12.8","3.7","462.8","1981 - 2010"
"295","13091","5110",NA,"9.1","10","12.3","32.7","54.3","106","97.2","101.1","83.8","42.2","8.1","3.1","559.9","1951 - 2010"
"296","13091","7100",NA,"11.5","5.6","13.9","41.9","48.9","109.2","93.2","90.3","64.9","41.9","8.8","4.6","534.7","1971 - 2000"
"297","13091","8110",NA,"8.1","9.9","12.2","27.6","54.7","108.7","104.9","96.1","87.4","40","6.7","1.7","558","1981 - 2010"
"298","13092","5110",NA,"9.6","5.6","10.6","29.8","52.5","99.7","104.1","86.2","89.8","46.5","15","7.9","557.3","1951 - 2010"
"299","13092","7100",NA,"7","6.8","10.4","25.9","53.1","92.8","102.2","85.7","84.7","42.9","12.8","9.6","533.9","1971 - 2000"
"300","13092","8110",NA,"7.7","8.3","7.1","25","41.8","87.7","99.3","80.8","92.3","40","11.8","6.8","508.6","1981 - 2010"
"301","13093","5110",NA,"9.7","6.9","7.2","22","35.9","65.7","62.2","55.8","108.7","47.2","11.8","25.3","458.4","1951 - 2010"
"302","13093","7100",NA,"8","5.4","8.1","22.2","42.1","64.6","65.3","58.6","101.1","48.6","11.3","5.5","440.8","1971 - 2000"
"303","13093","8110",NA,"9.6","10.1","5.2","22","32.7","58.2","66.9","59.7","105.2","45.8","11.7","4.1","431.2","1981 - 2010"
"304","13094","5110",NA,"17.1","22.7","16.7","32.4","47.3","139.1","171.6","146.9","183.5","80.6","37.3","24.3","919.5","1951 - 2010"
"305","13094","7100",NA,"17.1","22.7","16.7","32.4","47.3","139.1","171.6","146.9","183.5","80.6","37.3","24.3","919.5","1971 - 2000"
"306","13095","5110",NA,"16.5","11.9","13","22","30.2","75.1","100.3","112.1","146.3","49.5","19.2","13.3","609.4","1951 - 2010"
"307","13095","7100",NA,"20.3","14.9","15.7","29.5","39.5","94.2","124.7","141.3","183.8","62.3","25.1","17.7","769","1971 - 2000"
"308","13095","8110",NA,"15.7","10.6","11.7","18.3","29.1","76","101.9","94.5","135.8","43.5","13.2","10.3","560.6","1981 - 2010"
"309","13096","5110",NA,"10.3","14.2","14.8","36.6","56.5","118","125.6","135.5","171.1","80.8","17.4","6.5","787.3","1951 - 2010"
"310","13096","7100",NA,"9.5","10.4","17","35.9","61.2","121","115.7","127.1","162.5","70.8","17.1","7.6","755.8","1971 - 2000"
"311","13096","8110",NA,"10.6","14.4","13.5","36","52","119.3","126.6","136.8","170.1","86.8","18.1","5.2","789.4","1981 - 2010"
"312","13097","5110",NA,"9.3","7.9","10.4","23","35.6","42.5","65.9","48.1","50.4","34.1","7.7","5.8","340.7","1951 - 2010"
"313","13097","7100",NA,"8.5","8.7","10.1","26.6","47.2","52.2","75.9","57.5","62.4","32.6","9.5","7.3","398.5","1971 - 2000"
"314","13097","8110",NA,"9","8.7","9.3","22.3","30.9","45.6","64.2","46.5","46","36","6.7","4.5","329.7","1981 - 2010"
"315","13098","5110",NA,"12.7","13.1","12.3","40","70.6","130","126.9","119.4","163.1","85.7","18.6","7.2","799.6","1951 - 2010"
"316","13098","7100",NA,"12.4","10.6","13.1","44","76.5","136.8","121.9","112.8","152","77.8","17.9","7.7","783.5","1971 - 2000"
"317","13098","8110",NA,"12.1","14.4","11.8","39.8","61.9","128.1","130","121","164.4","92.1","19.7","7.7","803","1981 - 2010"
"318","13099","5110",NA,"13","12.9","15.5","27","41.5","85.2","99.2","104.6","137.8","67.3","20.3","8.2","632.5","1951 - 2010"
"319","13099","7100",NA,"10.1","11.2","16.9","24.3","46.2","88.9","95","103.5","137.9","55.9","20.7","9.3","619.9","1971 - 2000"
"320","13099","8110",NA,"13.2","13.8","13.8","26.2","41.3","80.8","100.5","101.6","131.6","70.3","22.2","8.1","623.4","1981 - 2010"
"321","13100","5110",NA,"17.8","18.6","17.7","35.8","71.5","162.3","164.8","146.2","211.2","105.7","27.2","10.5","989.3","1951 - 2010"
"322","13100","7100",NA,"14.6","14.7","18.8","36.4","71.4","150.2","155.5","134.3","184.5","97.2","25.5","11.2","914.3","1971 - 2000"
"323","13100","8110",NA,"18.2","19.1","17.1","34","69.8","168.5","175.7","149","214.6","112.2","27.2","10.1",NA,"1981 - 2010"
"324","13105","5110",NA,"9.6","13.7","8.6","22.1","41.3","58.5","58.6","49","67.9","41.4","13.4","4","388.1","1951 - 2010"
"325","13105","7100",NA,"7.2","11.8","8.5","21.6","41","61.9","52.9","42.7","57.3","32.2","11.1","3.9","352.1","1971 - 2000"
"326","13105","8110",NA,"9.9","13.6","7.6","21","37.9","58","56.7","46.4","68.4","42.4","14.2","4.2","380.3","1981 - 2010"
"327","13106","5110",NA,"15.8","8.2","15.7","29.3","48.9","74.1","91","72.3","61.6","31.1","12.7","10.3","471","1951 - 2010"
"328","13106","7100",NA,"15.8","8.2","15.7","29.3","48.9","74.1","91","72.3","61.6","31.1","12.7","10.3","471","1971 - 2000"
"329","13109","5110",NA,"9.9","15.3","7.4","23.1","62.2","63.7","71.1","71.6","80.2","44.4","10.5","4.1","463.5","1951 - 2010"
"330","13109","7100",NA,"8.7","12.7","8.3","23.5","74.9","63.6","52.9","65.1","84.4","46.7","10.9","5.6","457.3","1971 - 2000"
"331","13109","8110",NA,"8.2","15.1","6.7","19.5","61.6","62.8","68.9","68.6","69","37.9","8","2.9","429.2","1981 - 2010"
"332","13111","5110",NA,"9.5","9.3","11.1","31.5","35.3","75.4","85.2","69.8","73.6","26.4","8.6","3.2","438.9","1951 - 2010"
"333","13111","7100",NA,"12.4","8.6","10.1","28.7","40.9","74.8","90.4","78","53.1","26.4","9.9","3.8","437.1","1971 - 2000"
"334","13111","8110",NA,"9.5","9.3","11.1","31.5","34","76.2","85.5","69.3","74.8","27.3","8.2","3.3","440","1981 - 2010"
"335","13112","5110",NA,"17.8","22.7","15.4","34.7","66.7","183","196.3","186.1","255.6","127.2","32.1","11.3",NA,"1951 - 2010"
"336","13112","7100",NA,"15.3","18.5","18.2","33","72.8","200.3","178.9","186.7","229.3","122.4","29.8","12.1",NA,"1971 - 2000"
"337","13112","8110",NA,"18.4","23.5","16","35.9","63.8","184.1","197.2","181.7","251.6","129.9","32.3","11.2",NA,"1981 - 2010"
"338","13115","5110",NA,"17.4","14.4","16.8","28.8","71","130.8","143.4","121.9","162.3","100.4","37.5","26","870.7","1951 - 2010"
"339","13115","7100",NA,"15.2","10.3","21.6","25.3","82.3","126.6","162","125.3","129.4","91.1","35.9","24.3","849.3","1971 - 2000"
"340","13115","8110",NA,"11.7","10.7","7.6","21.2","43.1","87.4","127.8","91.7","121.5","79.1","27.9","18.1","647.8","1981 - 2010"
"341","13116","5110",NA,"15.6","17.7","14.4","36.3","75.2","123.6","130.8","139.2","179.1","95.6","20.8","7.9","856.2","1951 - 2010"
"342","13116","7100",NA,"14.6","15.2","14.9","35.6","83.7","138.6","123.9","133.5","167.6","89.1","22","9.1","847.8","1971 - 2000"
"343","13116","8110",NA,"15.6","17.7","14.4","36.3","68.5","127.6","133.8","140.4","180.6","97.3","21.2","7.9","861.3","1981 - 2010"
"344","13117","5110",NA,"17.8","15.2","15.6","24.8","51","59.9","61.6","41.1","73.7","35","8.2","5.7","409.6","1951 - 2010"
"345","13117","7100",NA,"12.3","9.1","17.1","26.5","52.9","57","60.4","43.1","73.8","32.4","9","2.3","395.9","1971 - 2000"
"346","13117","8110",NA,"17.8","15.2","15.6","24.8","46.1","60.7","60.7","38.2","74.5","34.8","8.6","6.2","403.2","1981 - 2010"
"347","13120","5110",NA,"7.1","4.4","7.2","19.4","37.8","40.7","43.8","40.3","68","32.5","6.3","2.3","309.8","1951 - 2010"
"348","13120","8110",NA,"7.1","4.4","7.2","19.4","37.8","40.7","43.8","40.3","68","32.5","6.6","2.5","310.3","1981 - 2010"
"349","13121","5110",NA,"10.5","13.6","12.8","31.2","43.7","93.6","108.1","96.9","127.1","55.5","9.8","3.9","606.7","1951 - 2010"
"350","13121","7100",NA,"9.4","10.7","15.3","32.9","49.4","103.3","94.9","87.4","118","53.1","11.2","4.5","590.1","1971 - 2000"
"351","13121","8110",NA,"10.5","13.6","12.8","31.2","43.7","93.6","108.1","96.9","127.1","56.4","10","4","607.9","1981 - 2010"
"352","13122","5110",NA,"13.9","16.6","7.8","22","49.1","69.7","83.2","50.1","49.9","21.1","6.4","5.4","395.2","1951 - 2010"
"353","13122","7100",NA,"12.4","11.9","9.9","24.3","54.5","67.9","66.9","48.2","53.7","16.8","6.9","6.3","379.7","1971 - 2000"
"354","13122","8110",NA,"10.6","17.2","7.1","22.7","42","73.3","82","47.7","49.9","22.1","5.9","2.3","382.8","1981 - 2010"
